!SESSION 2026-04-21 08:46:15.824 -----------------------------------------------
eclipse.buildId=4.38.0.20251204-0849
java.version=21.0.9
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_IN
Framework arguments:  -product org.eclipse.epp.package.java.product
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.eclipse.epp.package.java.product

This is a continuation of log file C:\Spring Boot W\.metadata\.bak_0.log
Created Time: 2026-04-21 09:35:09.062

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:09.063
!MESSAGE 09:35:08.490 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:09.076
!MESSAGE 09:35:09.075 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:09.457
!MESSAGE 09:35:09.222 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:09.459
!MESSAGE 09:35:09.456 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change message work done in 0ms

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:13.823
!MESSAGE 09:35:13.823 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:13.824
!MESSAGE 09:35:13.823 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:14.077
!MESSAGE 09:35:13.989 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:14.077
!MESSAGE 09:35:14.024 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:14.438
!MESSAGE 09:35:14.438 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 146

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:14.954
!MESSAGE 09:35:14.602 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:15.273
!MESSAGE 09:35:14.954 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:15.289
!MESSAGE 09:35:15.289 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:16.189
!MESSAGE 09:35:15.350 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 148

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:16.190
!MESSAGE 09:35:15.840 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:16.629
!MESSAGE 09:35:16.628 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:17.151
!MESSAGE 09:35:17.109 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:17.625
!MESSAGE 09:35:17.624 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:17.625
!MESSAGE 09:35:17.624 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:17.806
!MESSAGE 09:35:17.745 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:18.193
!MESSAGE 09:35:18.154 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:18.234
!MESSAGE 09:35:18.214 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:18.562
!MESSAGE 09:35:18.560 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:18.812
!MESSAGE 09:35:18.711 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:18.813
!MESSAGE 09:35:18.711 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:19.188
!MESSAGE 09:35:19.187 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:19.848
!MESSAGE 09:35:19.846 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:19.936
!MESSAGE 09:35:19.923 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:19.937
!MESSAGE 09:35:19.935 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:19.938
!MESSAGE 09:35:19.935 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:20.746
!MESSAGE 09:35:20.741 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:23.035
!MESSAGE 09:35:22.137 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:23.036
!MESSAGE 09:35:22.137 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.429
